Investor name:,VC fund or Angel Syndicate name:,Investment verticals:,Check size range:,Preferred start-up stage:,Do you lead rounds?,# of cold outreach investments made:,Geography,Additional notes for founders:
,,,,,,,,
Soham Avlani,9Unicorns,"Transport,Adtech,AI/ML,All deep tech!,AR/VR,B2B,B2C,Blockchain & Crypto,Consumer,Deep tech,Edtech,Enterprise Software,Fintech,Love crazy ideas",$250K - $2Mn,"Seed,Pre-seed,Series A",Yes,,"Indian Fund, Investing Globally",
David Meister,18.ventures,"AI/ML,B2B,B2C,BioTech,MedTech & Healthcare,CleanTech,Cybersecurity,Digital Health,Edtech,Enterprise Software,FemTech,Fintech,Foodtech,Future of Work & Productivity,Gaming,InsurTech,Legaltech,SaaS","$200,000 - $400,000","Pre-seed,Seed,Series A",No,2,,
Chris Moreno,80/20 Fund & Real Estate Tech Fund,"B2B,B2C,CleanTech,Cybersecurity,Consumer,DTC,E-commerce,Enterprise Software,Edtech,Fintech,Future of Work & Productivity,growth tech,Legal Tech,Marketplace,We work with people without college degrees! Let me know if you have one or not :),Transport,Supply Chain,SaaS,Retail Tech,Real Estate & Hospitality,MedTech & Healthcare,Hard Tech & Manufacturing",Up to $250k ,"Idea/first check,Pre-seed,Seed,Series A",No,17,,
Jai Malik,208 Seed Ventures,"Aerospace,AI/ML,Foodtech,Hard Tech & Manufacturing,Transport",$254 - $250K,"Idea/first check,Pre-seed,Seed",No,1,,
Vlada Labzeyeva,468 Capital,"AI/ML,B2B,B2C,CleanTech,Cybersecurity,E-commerce,DTC,Consumer,Enterprise Software,Foodtech,Future of Work & Productivity,Marketplace,SaaS,Social Impact",$0 - $2M,"Idea/first check,Pre-seed,Seed",Yes,,,
Danielle Strachman,1517 Fund,"Aerospace,Agritech,AI/ML,B2B,BioTech,MedTech & Healthcare,Cybersecurity,Edtech,Enterprise Software,FemTech,Foodtech,Future of Work & Productivity,Hard Tech & Manufacturing,Marketplace,SaaS,We work with people without college degrees! Let me know if you have one or not :)",$250K usually. $50K on occasion. ,"Idea/first check,Pre-seed",,10,,Hi! Let me know if you are without a degree. We work mostly with drop outs!
Zak Slayback ,1517 Fund,"Aerospace,Agritech,All deep tech!,B2B,Cybersecurity,DTC,Generalist,Love crazy ideas,SaaS,We work with people without college degrees! Let me know if you have one or not :)","250K, sometimes 50K","Idea/first check,Pre-seed",Yes,2,,
Paul Sethi,2048 Ventures,"B2B,B2C,Industry Agnostic,SaaS,Fintech,Digital Health,Edtech","$300,000 - $500,000","Pre-seed,Seed","Flexible between lead,but equally happy to co-invest alongside qualified leads",5+,,
Zann Ali,2048 Ventures,Generalist,$300-$600K,"Pre-seed,Seed",Yes,,,
Ana Maury Aguilar,AC Ventures,"AI/ML,B2B,B2C,CleanTech,E-commerce,DTC,Consumer,Fintech,SaaS",$0.5M - 2.5M,"Seed,Series A",No,8,,"We are a global CVC based in Mexico City sponsored by Arca Continental. Second biggest Coca Cola Company bottler in Latam.
https://www.linkedin.com/company/acv-vc/
https://medium.com/@ACV_VC
"
Pranavi Cheemakurti,Acceleprise Ventures ,"AI/ML,B2B,Digital Health,Enterprise Software,FemTech,Fintech,Future of Work & Productivity,InsurTech,Legaltech,Marketplace,Mental Health,No Code focus,SaaS",$100K - $600K ,"Idea/first check,Pre-seed,Seed",No,7,,
Mendel Chuang,Acquired Wisdom Fund (AWF.VC),"Generalist,B2B,B2C,etc.",$25K-$75K,Pre-seed,Yes,,,Acquired Wisdom Fund (AWF.VC) helps seasoned professionals create scalable technology products. Learn more at: https://awf.vc/faq
Derek Langton,Acquired Wisdom Fund (AWF.VC),"Generalist,B2B,B2C,etc.",$25K-$75K,Pre-seed,Yes,,,Learn more: https://awf.vc/faq
Mat Kaliski,Acronym Venture Capital,"AI/ML,B2B,B2C,Consumer,Cybersecurity,E-commerce,Enterprise Software,Fintech,Foodtech,InsurTech,Supply Chain,SaaS,Real Estate & Hospitality,Marketplace",$500k,Series A,I help founders find leads.,,,I have a strong focus on helping immigrant and first gen founders from non-Ivy educational backgrounds
Mohammed Amdani,Adapt Ventures,"B2B,B2C,E-commerce,DTC,Consumer,Enterprise Software,Fintech,Future of Work & Productivity,Marketplace,Media,Real Estate & Hospitality,SaaS","$25,000K - $250,000K","Idea/first check,Pre-seed,Seed,Series A",No,,,
Alex Macdonald,Alchemy,"B2B,B2C,DTC,Enterprise Software,Marketplace",$10k-500k,"Pre-seed,Seed",Most likely not but we do in select cases,3,UK,Please include deck 🙏🏽
Susannah Shipton,AlleyCorp,"Consumer,CleanTech,Beauty & wellness,Deep tech,Digital health,E-commerce,B2B,B2C,Blockchain & Crypto,Cybersecurity,Enterprise Software,Edtech,Love crazy ideas,FemTech,Foodtech,Generalist",$500K-$3M,"Pre-seed,Seed",Yes,,,
